,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
197,HIMACHAL PRADESH,KULLU,2001,13,6,0,12,0,2,0
198,HIMACHAL PRADESH,LAHAUL-SPITI,2001,2,1,0,0,0,1,0
199,HIMACHAL PRADESH,MANDI,2001,16,10,0,59,4,56,0
200,HIMACHAL PRADESH,SHIMLA,2001,18,11,2,50,1,31,0
201,HIMACHAL PRADESH,SIRMAUR,2001,10,11,3,33,4,22,0
202,HIMACHAL PRADESH,SOLAN,2001,12,10,2,23,1,24,0
203,HIMACHAL PRADESH,UNA,2001,9,5,0,11,0,20,0
204,HIMACHAL PRADESH,TOTAL,2001,124,105,10,310,14,317,0
205,JAMMU & KASHMIR,ANANTNAG,2001,6,36,0,53,12,0,0
206,JAMMU & KASHMIR,AWANTIPORA,2001,1,13,0,8,2,0,0
207,JAMMU & KASHMIR,BARAMULLA,2001,28,59,0,93,14,0,0
208,JAMMU & KASHMIR,BORDER,2001,12,10,0,15,5,3,0
209,JAMMU & KASHMIR,BUDGAM,2001,7,34,0,35,9,0,0
210,JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0
211,JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0
212,JAMMU & KASHMIR,DODA,2001,7,15,0,6,2,1,0
213,JAMMU & KASHMIR,GANDERBAL,2001,5,31,0,30,4,0,0
214,JAMMU & KASHMIR,JAMMU,2001,13,43,5,40,94,26,0
215,JAMMU & KASHMIR,KARGIL,2001,0,1,0,1,0,0,0
216,JAMMU & KASHMIR,KATHUA,2001,13,10,3,14,4,1,0
217,JAMMU & KASHMIR,KULGAM,2001,6,31,0,7,11,0,0
218,JAMMU & KASHMIR,KUPWARA,2001,6,29,0,62,2,0,0
219,JAMMU & KASHMIR,LEH,2001,0,1,0,1,0,0,0
220,JAMMU & KASHMIR,POONCH,2001,13,10,0,4,6,2,0
221,JAMMU & KASHMIR,PULWAMA,2001,7,33,0,19,12,0,0
222,JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0
223,JAMMU & KASHMIR,RAJOURI,2001,17,20,3,7,6,6,0
224,JAMMU & KASHMIR,RAMBAN,2001,3,3,0,3,2,0,0
225,JAMMU & KASHMIR,REASI,2001,7,9,0,5,4,0,0
226,JAMMU & KASHMIR,SRINAGAR,2001,8,102,0,207,88,2,0
227,JAMMU & KASHMIR,UDHAMPUR,2001,10,14,2,12,11,9,0
228,JAMMU & KASHMIR,TOTAL,2001,169,504,13,622,288,50,0
229,JHARKHAND,BOKARO,2001,26,32,25,24,2,45,0
230,JHARKHAND,CHAIBASA,2001,32,10,0,6,0,0,0
231,JHARKHAND,CHATRA,2001,6,3,7,0,0,6,0
232,JHARKHAND,DEOGHAR,2001,22,0,10,13,1,10,0
233,JHARKHAND,DHANBAD,2001,32,45,30,47,0,18,0
234,JHARKHAND,DHANBAD RLY.,2001,2,0,0,0,0,0,0
235,JHARKHAND,DUMKA,2001,27,0,3,20,0,23,0
236,JHARKHAND,GARHWA,2001,11,2,15,0,0,5,0
237,JHARKHAND,GIRIDIH,2001,42,10,30,13,0,57,0
238,JHARKHAND,GODDA,2001,37,26,1,0,0,0,0
239,JHARKHAND,GUMLA,2001,29,11,0,2,0,10,1
240,JHARKHAND,HAZARIBAGH,2001,41,31,31,15,0,18,0
241,JHARKHAND,JAMSHEDPUR,2001,50,51,6,58,0,88,0
242,JHARKHAND,JAMSHEDPUR RLY.,2001,1,0,0,1,0,0,0
243,JHARKHAND,JAMTARA,2001,18,11,5,13,0,20,0
244,JHARKHAND,KODERMA,2001,2,2,11,8,1,29,0
245,JHARKHAND,LATEHAR,2001,12,2,6,0,0,0,0
246,JHARKHAND,LOHARDAGGA,2001,12,8,0,4,0,10,0
247,JHARKHAND,PAKUR,2001,23,0,7,0,0,18,0
248,JHARKHAND,PALAMU,2001,15,2,18,8,0,28,1
249,JHARKHAND,RANCHI,2001,73,1,4,24,1,78,0
250,JHARKHAND,SAHEBGANJ,2001,20,5,3,23,0,21,0
251,JHARKHAND,SARAIKELA,2001,17,15,4,18,0,0,0
252,JHARKHAND,SIMDEGA,2001,17,12,1,0,0,0,0
253,JHARKHAND,TOTAL,2001,567,279,217,297,5,484,2
254,KARNATAKA,BAGALKOT,2001,2,7,1,39,0,50,0
255,KARNATAKA,BANGALORE COMMR.,2001,40,56,40,223,51,229,0
256,KARNATAKA,BANGALORE RURAL,2001,13,10,30,90,0,123,0
257,KARNATAKA,BELGAUM,2001,8,12,4,62,0,125,0
258,KARNATAKA,BELLARY,2001,16,11,5,82,0,49,0
259,KARNATAKA,BIDAR,2001,7,10,2,90,3,51,0
260,KARNATAKA,BIJAPUR,2001,6,19,1,65,0,92,0
261,KARNATAKA,CHAMARAJNAGAR,2001,4,5,7,43,0,15,0
262,KARNATAKA,CHICKMAGALUR,2001,8,7,4,57,8,83,0
263,KARNATAKA,CHITRADURGA,2001,18,0,2,48,0,35,0
264,KARNATAKA,DAKSHIN KANNADA,2001,3,6,1,24,0,25,0
265,KARNATAKA,DAVANAGERE,2001,22,13,8,84,5,77,0
266,KARNATAKA,DHARWAD COMMR.,2001,4,4,2,3,0,24,0
267,KARNATAKA,DHARWAD RURAL,2001,3,2,3,8,0,8,0
268,KARNATAKA,GADAG,2001,2,2,3,10,0,18,0
269,KARNATAKA,GULBARGA,2001,20,21,6,143,1,104,0
270,KARNATAKA,HASSAN,2001,20,0,4,75,1,68,0
271,KARNATAKA,HAVERI,2001,3,11,5,42,0,32,0
272,KARNATAKA,K.G.F.,2001,1,7,4,12,0,20,0
273,KARNATAKA,KODAGU,2001,4,4,4,22,0,14,0
274,KARNATAKA,KOLAR,2001,17,18,18,42,0,39,0
275,KARNATAKA,KOPPAL,2001,6,12,5,40,1,23,0
276,KARNATAKA,MANDYA,2001,15,1,7,50,0,72,0
277,KARNATAKA,MYSORE COMMR.,2001,2,7,9,8,1,48,0
278,KARNATAKA,MYSORE RURAL,2001,12,4,6,79,2,51,0
279,KARNATAKA,RAICHUR,2001,12,5,1,63,4,52,0
280,KARNATAKA,RAILWAYS,2001,1,0,1,0,0,0,0
281,KARNATAKA,SHIMOGA,2001,12,10,6,65,0,134,0
282,KARNATAKA,TUMKUR,2001,6,4,28,53,0,44,0
283,KARNATAKA,UDUPI,2001,2,0,0,16,2,16,0
284,KARNATAKA,UTTAR KANNADA,2001,4,3,3,27,2,34,0
285,KARNATAKA,TOTAL,2001,293,271,220,1665,81,1755,0
286,KERALA,ALAPUZHA,2001,21,6,1,162,2,105,0
287,KERALA,CBCID,2001,2,0,0,0,0,4,0
288,KERALA,ERNAKULAM,2001,38,7,3,162,3,161,0
289,KERALA,IDUKKI,2001,34,0,0,145,16,127,0
290,KERALA,KANNUR,2001,42,7,0,77,7,157,0
291,KERALA,KASARGOD,2001,28,1,0,0,0,66,0
292,KERALA,KOLLAM,2001,55,9,3,235,0,315,0
293,KERALA,KOTTAYAM,2001,22,12,2,125,8,82,0
294,KERALA,KOZHIKODE,2001,39,10,2,118,8,319,0
295,KERALA,MALAPPURAM,2001,71,4,3,92,3,448,0
296,KERALA,PALAKKAD,2001,63,10,5,112,10,215,0
297,KERALA,PATHANAMTHITTA,2001,12,0,0,90,3,95,0
298,KERALA,RAILWAYS,2001,1,0,0,0,0,0,0
299,KERALA,THRISSUR,2001,42,9,2,223,16,198,0
300,KERALA,TRIVANDRUM,2001,57,21,6,345,2,210,0
301,KERALA,WAYANADU,2001,35,1,0,56,3,59,0
302,KERALA,TOTAL,2001,562,97,27,1942,81,2561,0
303,MADHYA PRADESH,BALAGHAT,2001,87,11,3,157,12,72,0
304,MADHYA PRADESH,BARWANI,2001,34,2,5,81,9,18,0
305,MADHYA PRADESH,BETUL,2001,95,16,7,135,4,71,0
306,MADHYA PRADESH,BHIND,2001,31,20,34,80,2,54,0
307,MADHYA PRADESH,BHOPAL,2001,106,48,15,252,56,132,0
308,MADHYA PRADESH,BHOPAL RLY.,2001,1,2,0,10,3,0,0
309,MADHYA PRADESH,CHHATARPUR,2001,65,23,20,193,10,46,0
310,MADHYA PRADESH,CHHINDWARA,2001,93,16,10,203,32,109,0
311,MADHYA PRADESH,DAMOH,2001,66,10,28,189,0,58,0
312,MADHYA PRADESH,DATIYA,2001,12,8,8,57,0,18,0
313,MADHYA PRADESH,DEWAS,2001,78,11,15,279,80,96,0
314,MADHYA PRADESH,DHAR,2001,68,18,41,168,21,88,0
315,MADHYA PRADESH,DINDORI,2001,20,2,0,53,6,4,0
316,MADHYA PRADESH,GUNA,2001,124,15,7,317,22,95,0
317,MADHYA PRADESH,GWALIOR,2001,59,22,20,139,8,49,0
318,MADHYA PRADESH,HARDA,2001,28,2,9,35,0,27,0
319,MADHYA PRADESH,HOSHANGABAD,2001,65,13,9,109,6,31,0
320,MADHYA PRADESH,INDORE,2001,84,35,25,215,63,161,0
321,MADHYA PRADESH,INDORE RLY.,2001,2,0,0,5,1,0,0
322,MADHYA PRADESH,JABALPUR,2001,108,20,28,264,50,81,0
323,MADHYA PRADESH,JABALPUR RLY.,2001,0,0,1,4,0,0,0
324,MADHYA PRADESH,JHABUA,2001,44,80,5,127,4,24,0
325,MADHYA PRADESH,KATNI,2001,25,3,11,106,12,59,0
326,MADHYA PRADESH,KHANDWA,2001,63,12,11,184,15,49,0
327,MADHYA PRADESH,KHARGON,2001,47,14,5,164,29,21,0
328,MADHYA PRADESH,MANDLA,2001,64,9,4,151,19,46,0
329,MADHYA PRADESH,MANDSAUR,2001,41,8,4,102,11,30,0
330,MADHYA PRADESH,MORENA,2001,35,18,29,77,2,34,0
331,MADHYA PRADESH,NARSINGHPUR,2001,70,4,22,156,16,40,0
332,MADHYA PRADESH,NEEMUCH,2001,37,7,1,83,18,62,0
333,MADHYA PRADESH,PANNA,2001,44,10,19,104,2,31,0
334,MADHYA PRADESH,RAISEN,2001,79,9,20,194,31,50,0
335,MADHYA PRADESH,RAJGARH,2001,95,9,7,196,26,49,0
336,MADHYA PRADESH,RATLAM,2001,70,13,4,125,28,53,0
337,MADHYA PRADESH,REWA,2001,31,18,18,105,2,56,0
338,MADHYA PRADESH,SAGAR,2001,141,16,29,509,0,142,0
339,MADHYA PRADESH,SATNA,2001,58,5,19,157,6,65,0
340,MADHYA PRADESH,SEONI,2001,52,2,10,106,23,25,0
341,MADHYA PRADESH,SHAHDOL,2001,63,13,9,216,3,87,0
342,MADHYA PRADESH,SHAJAPUR,2001,90,8,8,153,36,65,0
343,MADHYA PRADESH,SHEOPUR,2001,21,3,6,52,0,14,0
344,MADHYA PRADESH,SHIVPURI,2001,72,11,14,172,2,26,0
345,MADHYA PRADESH,SIDHI,2001,42,30,27,105,2,66,0
346,MADHYA PRADESH,SIHORE,2001,59,27,5,130,17,45,0
347,MADHYA PRADESH,TIKAMGARH,2001,86,4,15,177,2,27,0
348,MADHYA PRADESH,UJJAIN,2001,59,33,7,161,33,109,0
349,MADHYA PRADESH,UMARIYA,2001,25,2,2,61,5,21,0
350,MADHYA PRADESH,VIDISHA,2001,112,6,13,245,22,56,0
351,MADHYA PRADESH,TOTAL,2001,2851,668,609,7063,751,2562,0
352,MAHARASHTRA,AHMEDNAGAR,2001,44,25,0,74,2,496,0
353,MAHARASHTRA,AKOLA,2001,15,14,2,109,7,189,0
354,MAHARASHTRA,AMRAVATI COMMR.,2001,23,23,10,43,26,55,0
355,MAHARASHTRA,AMRAVATI RURAL,2001,42,25,4,99,38,92,0
356,MAHARASHTRA,AURANGABAD COMMR.,2001,14,14,4,33,12,102,0
357,MAHARASHTRA,AURANGABAD RURAL,2001,28,6,6,53,12,247,0
358,MAHARASHTRA,BEED,2001,22,15,2,78,15,177,0
359,MAHARASHTRA,BHANDARA,2001,39,1,5,71,37,60,0
360,MAHARASHTRA,BULDHANA,2001,22,18,35,118,21,223,0
361,MAHARASHTRA,CHANDRAPUR,2001,43,7,2,102,28,144,0
362,MAHARASHTRA,DHULE,2001,16,6,6,17,8,127,0
363,MAHARASHTRA,GADCHIROLI,2001,27,6,0,55,17,57,0
364,MAHARASHTRA,GONDIA,2001,23,17,4,85,22,80,0
365,MAHARASHTRA,HINGOLI,2001,20,8,2,44,4,134,0
366,MAHARASHTRA,JALGAON,2001,19,12,5,76,31,389,0
367,MAHARASHTRA,JALNA,2001,16,8,5,56,7,172,0
368,MAHARASHTRA,KOLHAPUR,2001,26,13,19,46,7,80,0
369,MAHARASHTRA,LATUR,2001,7,22,38,50,7,150,0
370,MAHARASHTRA,MUMBAI,2001,127,12,18,274,44,198,0
371,MAHARASHTRA,MUMBAI RLY.,2001,2,0,0,5,0,0,0
372,MAHARASHTRA,NAGPUR COMMR.,2001,39,51,7,75,56,218,0
373,MAHARASHTRA,NAGPUR RLY.,2001,2,0,2,4,0,0,0
374,MAHARASHTRA,NAGPUR RURAL,2001,81,16,3,131,294,141,0
375,MAHARASHTRA,NANDED,2001,23,36,21,85,22,202,0
376,MAHARASHTRA,NANDURBAR,2001,16,6,2,27,1,78,0
377,MAHARASHTRA,NASIK COMMR.,2001,9,9,3,19,2,99,0
378,MAHARASHTRA,NASIK RURAL,2001,39,10,7,74,37,339,0
379,MAHARASHTRA,NAVI MUMBAI,2001,17,7,5,23,5,57,0
380,MAHARASHTRA,OSMANABAD,2001,16,7,2,52,6,102,0
381,MAHARASHTRA,PARBHANI,2001,25,16,1,57,10,120,0
382,MAHARASHTRA,PUNE COMMR.,2001,56,28,2,54,105,147,1
383,MAHARASHTRA,PUNE RLY.,2001,0,0,0,3,0,0,0
384,MAHARASHTRA,PUNE RURAL,2001,42,17,5,64,11,165,0
